Date,Price
2017-01-01,4.8
2017-01-02,5.0
2017-01-03,5.0
2017-01-04,5.23
2017-01-05,5.28
2017-01-06,5.28
2017-01-07,5.3
2017-01-08,5.3
2017-01-09,5.3
2017-01-10,5.25
2017-01-11,5.25
2017-01-12,5.7
2017-01-13,5.7
2017-01-14,5.33
2017-01-15,5.04
2017-01-16,4.75
2017-01-17,4.78
2017-01-18,4.75
2017-01-19,5.03
2017-01-20,5.03
2017-01-21,5.2
2017-01-22,5.2
2017-01-23,5.2
2017-01-24,5.7
2017-01-25,5.7
2017-01-26,5.53
2017-01-27,5.83
2017-01-28,5.83
2017-01-29,5.79
2017-01-30,5.75
2017-01-31,5.83
2017-02-01,5.33
2017-02-02,5.33
2017-02-03,5.25
2017-02-04,5.7
2017-02-05,5.7
2017-02-06,5.7
2017-02-07,6.1
2017-02-08,6.1
2017-02-09,5.83
2017-02-10,5.53
2017-02-11,5.53
2017-02-12,5.43
2017-02-13,5.33
2017-02-14,5.33
2017-02-15,5.33
2017-02-16,5.25
2017-02-17,5.7
2017-02-18,5.7
2017-02-19,5.7
2017-02-20,5.7
2017-02-21,5.83
2017-02-22,5.83
2017-02-23,5.7
2017-02-24,5.7
2017-02-25,5.83
2017-02-26,5.83
2017-02-27,5.83
2017-02-28,5.83
2017-03-01,5.7
2017-03-02,5.35
2017-03-03,5.25
2017-03-04,5.25
2017-03-05,5.28
2017-03-06,5.3
2017-03-07,5.38
2017-03-08,5.7
2017-03-09,5.53
2017-03-10,5.53
2017-03-11,5.33
2017-03-12,5.3
2017-03-13,5.28
2017-03-14,5.25
2017-03-15,5.28
2017-03-16,5.35
2017-03-17,5.7
2017-03-18,5.4
2017-03-19,5.31
2017-03-20,5.23
2017-03-21,5.25
2017-03-22,5.25
2017-03-23,5.7
2017-03-24,5.75
2017-03-25,5.7
2017-03-26,5.73
2017-03-27,5.7
2017-03-28,5.7
2017-03-29,5.68
2017-03-30,5.93
2017-03-31,5.93
2017-04-01,6.18
2017-04-02,6.18
2017-04-03,7.0
2017-04-04,7.05
2017-04-05,7.23
2017-04-06,7.53
2017-04-07,7.65
2017-04-08,7.25
2017-04-09,8.2
2017-04-10,8.2
